llm,shot_method,schema_linking_method,table_group,samples,table_precision,table_recall,table_f1,column_precision,column_recall,column_f1
ministral-3:3b,zero_shot,baseline_schema_linking,overall,3313,88.94,88.82,88.88,77.43,56.34,65.22
ministral-3:3b,zero_shot,baseline_schema_linking,two_table,2592,87.51,92.98,90.16,74.24,58.21,65.26
ministral-3:3b,zero_shot,baseline_schema_linking,three_table,721,93.07,79.19,85.57,87.12,52.01,65.14
ministral-3:3b,zero_shot,table2column,overall,3313,89.9,86.06,87.93,79.98,54.05,64.5
ministral-3:3b,zero_shot,table2column,two_table,2592,88.56,90.64,89.59,77.04,56.88,65.44
ministral-3:3b,zero_shot,table2column,three_table,721,93.83,75.44,83.63,89.47,47.48,62.04
ministral-3:3b,few_shot,baseline_schema_linking,overall,3313,91.36,86.08,88.65,79.43,56.88,66.29
ministral-3:3b,few_shot,baseline_schema_linking,two_table,2592,90.67,90.93,90.8,77.57,59.33,67.23
ministral-3:3b,few_shot,baseline_schema_linking,three_table,721,93.37,74.85,83.09,84.87,51.2,63.87
ministral-3:3b,few_shot,table2column,overall,3313,91.8,85.22,88.39,82.26,57.61,67.76
ministral-3:3b,few_shot,table2column,two_table,2592,90.76,89.6,90.18,80.36,60.03,68.72
ministral-3:3b,few_shot,table2column,three_table,721,94.81,75.08,83.8,87.83,51.99,65.32
mistral:7b,zero_shot,baseline_schema_linking,overall,3313,86.97,75.79,81.0,67.33,55.94,61.11
mistral:7b,zero_shot,baseline_schema_linking,two_table,2592,85.14,79.55,82.25,64.25,57.67,60.78
mistral:7b,zero_shot,baseline_schema_linking,three_table,721,92.43,67.08,77.74,76.79,51.95,61.97
mistral:7b,zero_shot,table2column,overall,3313,81.78,91.71,86.46,69.0,59.27,63.77
mistral:7b,zero_shot,table2column,two_table,2592,78.95,94.43,86.0,66.29,61.42,63.76
mistral:7b,zero_shot,table2column,three_table,721,90.02,85.44,87.67,77.29,54.28,63.77
mistral:7b,few_shot,baseline_schema_linking,overall,3313,90.26,83.73,86.87,72.11,63.09,67.3
mistral:7b,few_shot,baseline_schema_linking,two_table,2592,88.48,87.54,88.01,68.92,64.97,66.89
mistral:7b,few_shot,baseline_schema_linking,three_table,721,95.45,74.9,83.93,81.77,58.75,68.38
mistral:7b,few_shot,table2column,overall,3313,86.79,88.76,87.77,72.09,63.6,67.58
mistral:7b,few_shot,table2column,two_table,2592,84.82,92.48,88.48,69.52,65.91,67.67
mistral:7b,few_shot,table2column,three_table,721,92.53,80.17,85.91,79.81,58.25,67.35
gemma3:1b,zero_shot,baseline_schema_linking,overall,3313,49.97,40.35,44.64,32.09,26.2,28.84
gemma3:1b,zero_shot,baseline_schema_linking,two_table,2592,48.49,42.38,45.23,29.42,26.54,27.91
gemma3:1b,zero_shot,baseline_schema_linking,three_table,721,54.55,35.64,43.11,41.11,25.4,31.4
gemma3:1b,zero_shot,table2column,overall,3313,65.03,60.12,62.48,31.01,30.16,30.58
gemma3:1b,zero_shot,table2column,two_table,2592,62.39,63.97,63.17,29.33,31.94,30.58
gemma3:1b,zero_shot,table2column,three_table,721,74.1,51.23,60.58,37.04,26.05,30.58
